Date;Time;Temperature  (C);Humidity  (%)
06.09.2024;00:00:00;6.2;76.5
06.09.2024;00:00:05;6.1;76.5
06.09.2024;00:00:10;6.1;NaN
06.09.2024;00:00:15;6.1;76.6
06.09.2024;00:00:20;NaN;NaN
06.09.2024;00:00:25;6.1;
06.09.2024;00:00:30;;NaN
06.09.2024;00:00:35;6.1;77.2
06.09.2024;00:00:40;6.1;77.3
06.09.2024;00:00:45;6.1;0.0
06.09.2024;00:00:50;6.1;0.0
06.09.2024;00:00:55;6.1;77.9
06.09.2024;00:01:00;6.1;78.1
06.09.2024;00:01:05;6.1;78.4


06.09.2024;00:01:10;6.1;78.7
06.09.2024;00:01:15;;78.9
06.09.2024;25:70;6.1;79.3
06.09.2024;00:01:25;6.0;79.5
06.09.2024;00:01:30;6.1;NaN
06.09.2024;00:01:35;6.1;80.0
06.09.2024;00:01:40;6.1;80.3
06.09.2024;00:01:45;6.0;80.6
06.09.2024;00:01:50;NaN;80.9
06.09.2024;00:01:55;0.0;81.1
06.09.2024;00:02:00;6.1;81.4
06.09.2024;00:02:05;6.1;81.7
06.09.2024;00:02:10;6.1;82.0
06.09.2024;00:02:15;;82.2
06.09.2024;00:02:20;;82.5
06.09.2024;00:02:25;6.1;82.7
06.09.2024;00:02:30;;82.9
06.09.2024;00:02:35;6.1;83.2
06.09.2024;00:02:40;6.1;83.4
06.09.2024;00:02:45;6.2;
06.09.2024;00:02:50;6.1;83.9
06.09.2024;00:02:55;6.1;84.2
06.09.2024;00:03:00;6.2;84.3
06.09.2024;00:03:05;6.2;84.6
06.09.2024;00:03:10;6.2;84.8
06.09.2024;00:03:15;6.2;85.0
06.09.2024;00:03:20;6.1;85.1
06.09.2024;00:03:25;6.2;85.5
06.09.2024;00:03:30;6.2;85.6
06.09.2024;00:03:35;6.2;85.7
06.09.2024;00:03:40;6.2;85.9
06.09.2024;00:03:45;6.2;999
06.09.2024;25:70;6.2;86.3
06.09.2024;00:03:55;6.2;86.4
06.09.2024;00:04:00;6.2;86.6
06.09.2024;00:04:05;6.2;86.9
06.09.2024;00:04:10;6.2;87.0
06.09.2024;00:04:15;6.2;NaN
06.09.2024;00:04:20;6.3;87.5


06.09.2024;00:04:25;999;87.6
06.09.2024;00:04:30;-99;87.8
06.09.2024;00:04:35;;87.9
06.09.2024;00:04:40;6.2;88.1
06.09.2024;00:04:45;6.3;88.4
06.09.2024;00:04:50;6.3;88.5
06.09.2024;00:04:55;6.3;88.6
06.09.2024;00:05:00;6.3;88.9
06.09.2024;00:05:05;6.3;89.0
06.09.2024;00:05:10;6.3;89.2
06.09.2024;00:05:15;6.3;89.2
06.09.2024;00:05:20;6.3;89.1
06.09.2024;00:05:25;6.3;88.9
06.09.2024;00:05:30;6.3;88.8
06.09.2024;00:05:40;6.4;88.3
06.09.2024;00:05:45;6.3;87.9
06.09.2024;00:05:50;6.3;87.5
06.09.2024;00:05:55;6.3;87.3
06.09.2024;00:06:00;;86.7
06.09.2024;00:06:05;6.3;86.3
06.09.2024;00:06:10;6.3;85.9
06.09.2024;00:06:15;6.3;85.6
06.09.2024;00:06:20;6.3;85.1
06.09.2024;00:06:25;6.4;84.8
06.09.2024;00:06:30;6.3;84.4
06.09.2024;00:06:40;6.3;83.5
06.09.2024;00:06:45;6.4;83.2
06.09.2024;00:06:50;6.3;82.8
06.09.2024;00:06:55;NaN;82.5
06.09.2024;00:07:00;;81.9
06.09.2024;00:07:05;6.3;81.6
06.09.2024;00:07:10;6.3;81.3
06.09.2024;00:07:15;6.3;
06.09.2024;00:07:20;6.3;80.9
06.09.2024;00:07:25;6.3;80.8
06.09.2024;00:07:30;6.3;80.8
06.09.2024;00:07:35;NaN;80.8
06.09.2024;00:07:40;6.3;80.9
06.09.2024;00:07:45;6.3;81.0
06.09.2024;00:07:50;6.3;81.1
06.09.2024;00:07:55;6.3;81.3
06.09.2024;00:08:00;6.3;81.5
06.09.2024;00:08:05;6.3;81.7
06.09.2024;00:08:10;6.3;81.8
06.09.2024;00:08:15;6.3;82.0
06.09.2024;00:08:20;-99;-99
06.09.2024;00:08:25;6.3;82.5
06.09.2024;00:08:35;6.3;82.9
06.09.2024;00:08:40;-99;83.2
06.09.2024;00:08:45;6.3;83.4
06.09.2024;00:08:50;6.3;83.6
06.09.2024;00:08:55;6.3;83.9
06.09.2024;00:09:00;6.3;
06.09.2024;00:09:05;6.3;84.4
06.09.2024;00:09:10;6.3;84.7


06.09.2024;00:09:20;6.3;85.1
06.09.2024;00:09:25;6.3;85.3
06.09.2024;00:09:35;6.3;85.7
