Date;Time;Temperature  (C);Humidity  (%)
05.09.2024;00:00:00;999;71.2
05.09.2024;00:00:05;999;71.4
05.09.2024;00:00:10;7.4;71.6
05.09.2024;00:00:15;7.4;71.8
05.09.2024;00:00:20;7.4;72.0
05.09.2024;00:00:25;7.4;72.2
05.09.2024;00:00:30;7.4;72.4
05.09.2024;00:00:35;7.4;72.6
05.09.2024;25:70;;72.9
05.09.2024;00:00:45;7.4;73.1
05.09.2024;00:00:50;7.4;73.3
05.09.2024;00:00:55;7.4;73.6
05.09.2024;00:01:00;7.4;73.8


05.09.2024;00:01:05;7.4;74.1
05.09.2024;00:01:15;;74.5
05.09.2024;00:01:20;7.4;0.0
05.09.2024;00:01:25;7.4;74.8
05.09.2024;00:01:30;7.4;74.9
05.09.2024;00:01:40;7.4;75.0
05.09.2024;00:01:45;7.4;75.0
05.09.2024;00:01:50;7.4;NaN

05.09.2024;00:01:55;7.4;74.8
05.09.2024;00:02:00;7.4;74.7
05.09.2024;00:02:05;7.4;74.5
05.09.2024;00:02:10;7.4;74.5
05.09.2024;00:02:15;;74.3
05.09.2024;00:02:20;7.4;74.1
05.09.2024;25:70;7.4;74.0
05.09.2024;00:02:30;7.4;73.8
05.09.2024;00:02:35;7.4;73.7
05.09.2024;00:02:40;7.4;73.6
05.09.2024;00:02:45;7.4;73.3
05.09.2024;00:02:50;7.4;73.2
05.09.2024;00:02:55;7.4;73.0
05.09.2024;00:03:00;7.4;72.8
05.09.2024;00:03:10;7.4;72.7
05.09.2024;00:03:15;7.4;72.7
05.09.2024;00:03:20;7.4;72.8
05.09.2024;00:03:25;7.4;72.8
05.09.2024;00:03:30;7.4;72.9
05.09.2024;00:03:35;7.4;73.0
05.09.2024;00:03:40;7.4;
05.09.2024;25:70;7.4;

05.09.2024;00:03:50;7.4;73.3
05.09.2024;00:03:55;7.4;73.4
05.09.2024;00:04:00;NaN;73.5
05.09.2024;00:04:05;NaN;73.7
05.09.2024;00:04:10;NaN;
05.09.2024;00:04:15;7.4;74.1
05.09.2024;00:04:20;7.4;74.3
05.09.2024;00:04:25;7.4;74.4
05.09.2024;00:04:30;7.4;74.5
05.09.2024;00:04:35;7.4;74.7
05.09.2024;00:04:40;7.4;74.9


05.09.2024;00:04:45;7.4;75.0
05.09.2024;00:04:50;7.4;75.2
05.09.2024;00:04:55;7.4;75.3
05.09.2024;00:05:00;7.4;75.5
05.09.2024;00:05:05;7.4;75.9
05.09.2024;00:05:10;7.4;75.9
05.09.2024;00:05:15;7.4;76.3

05.09.2024;00:05:20;7.4;76.4
05.09.2024;00:05:25;7.4;76.5
05.09.2024;00:05:30;;0.0
05.09.2024;00:05:35;7.4;77.1
05.09.2024;00:05:40;  7.4  ;77.3
05.09.2024;00:05:45;7.4;NaN

05.09.2024;00:05:50;;77.7
05.09.2024;00:05:55;7.4;77.8
05.09.2024;00:06:00;7.4;77.9
05.09.2024;00:06:05;7.4;78.1


05.09.2024;00:06:10;7.4;78.3
05.09.2024;00:06:15;7.4;78.4
05.09.2024;00:06:20;7.4;78.6

05.09.2024;00:06:25;NaN;78.7
05.09.2024;00:06:30;7.4;79.0
05.09.2024;00:06:35;7.4;79.2
05.09.2024;00:06:40;7.4;NaN
05.09.2024;00:06:45;;79.4
05.09.2024;00:06:50;7.5;79.6
05.09.2024;00:07:00;7.4;79.9

05.09.2024;00:07:05;7.4;-99
05.09.2024;00:07:10;7.4;80.1
05.09.2024;00:07:15;7.4;80.2
05.09.2024;00:07:20;7.5;80.4
05.09.2024;00:07:25;7.5;80.4
05.09.2024;00:07:30;7.5;80.3
05.09.2024;00:07:35;7.5;80.2
05.09.2024;00:07:40;;80.1
05.09.2024;00:07:45;7.5;79.8
