Date;Time;Temperature  (C);Humidity  (%)
06.09.2024;00:00:00;9.8;60.2
06.09.2024;00:00:05;9.7;60.1
06.09.2024;00:00:10;9.7;60.1
06.09.2024;00:00:15;9.8;60.1
06.09.2024;00:00:30;9.8;60.3
06.09.2024;00:00:35;9.8;60.4
06.09.2024;00:00:40;9.8;60.4
06.09.2024;00:00:45;9.8;60.5
06.09.2024;00:00:50;9.8;60.7
06.09.2024;00:00:55;9.7;60.7
06.09.2024;00:01:00;9.7;60.9
06.09.2024;00:01:05;9.8;61.0
06.09.2024;00:01:10;999;61.2
06.09.2024;00:01:15;9.8;61.3
06.09.2024;00:01:20;9.8;61.5
06.09.2024;00:01:25;9.7;NaN
06.09.2024;00:01:30;9.7;61.8
06.09.2024;00:01:35;9.8;62.0
06.09.2024;00:01:40;9.7;62.1
06.09.2024;00:01:45;9.8;62.4
06.09.2024;00:01:50;9.8;62.4


06.09.2024;00:01:55;9.7;62.6
06.09.2024;00:02:00;9.8;62.9
06.09.2024;00:02:05;9.8;63.0
06.09.2024;00:02:10;9.7;
06.09.2024;00:02:15;9.8;-99

06.09.2024;00:02:20;9.8;63.5
06.09.2024;00:02:25;9.7;63.6
06.09.2024;00:02:30;9.8;63.8
06.09.2024;00:02:35;9.8;64.0
06.09.2024;00:02:40;9.8;64.2
06.09.2024;00:02:50;9.8;NaN
06.09.2024;00:02:55;9.8;
06.09.2024;25:70;9.8;
06.09.2024;00:03:05;9.8;65.0
06.09.2024;00:03:15;9.8;65.3
06.09.2024;00:03:20;9.8;65.4
06.09.2024;00:03:25;NaN;65.6
06.09.2024;00:03:30;9.8;65.7
06.09.2024;00:03:35;9.8;65.8
06.09.2024;00:03:40;9.8;66.0
06.09.2024;00:03:45;9.8;66.1
06.09.2024;00:03:50;9.8;66.2
06.09.2024;00:03:55;9.8;66.4
06.09.2024;00:04:00;NaN;
06.09.2024;00:04:10;9.8;66.8
06.09.2024;00:04:15;NaN;66.9
06.09.2024;00:04:20;9.8;67.0
06.09.2024;00:04:25;9.8;67.1
06.09.2024;00:04:30;9.8;67.2
06.09.2024;00:04:35;9.8;67.3
06.09.2024;00:04:40;9.8;NaN
06.09.2024;00:04:45;9.8;67.6
06.09.2024;00:04:50;9.8;67.7
06.09.2024;00:04:55;9.8;67.8
06.09.2024;00:05:00;9.8;67.9
06.09.2024;00:05:05;9.8;68.0
06.09.2024;00:05:10;9.8;68.1
06.09.2024;00:05:15;9.8;68.1
06.09.2024;00:05:20;;68.1
06.09.2024;00:05:25;9.8;68.0
06.09.2024;00:05:30;;68.0
06.09.2024;00:05:35;9.8;0.0
06.09.2024;00:05:40;9.8;67.6
06.09.2024;00:05:45;9.8;67.5
06.09.2024;25:70;9.8;67.3
06.09.2024;00:05:55;9.8;67.1
06.09.2024;00:06:00;9.8;66.8
06.09.2024;00:06:05;;66.6
06.09.2024;00:06:10;9.8;66.4
06.09.2024;00:06:15;;66.2
06.09.2024;00:06:20;9.8;66.0
06.09.2024;00:06:25;9.8;
06.09.2024;00:06:30;9.8;65.6
06.09.2024;00:06:35;9.8;65.3
06.09.2024;00:06:40;9.8;65.1
06.09.2024;00:06:45;9.8;64.9
06.09.2024;00:06:50;9.8;64.7
06.09.2024;00:06:55;9.8;-99
06.09.2024;00:07:00;9.8;64.2
06.09.2024;25:70;9.8;
06.09.2024;00:07:10;9.8;63.7
06.09.2024;00:07:15;9.8;63.5


06.09.2024;00:07:20;9.8;63.4
06.09.2024;00:07:25;9.8;63.3

06.09.2024;00:07:30;NaN;999
06.09.2024;00:07:35;9.8;
06.09.2024;00:07:40;9.8;63.2
06.09.2024;00:07:45;9.8;63.3

06.09.2024;00:07:50;9.8;63.3
06.09.2024;00:07:55;9.8;63.3
06.09.2024;00:08:00;9.8;63.4
06.09.2024;00:08:10;9.8;
06.09.2024;00:08:15;9.8;63.7
06.09.2024;00:08:20;999;63.8
06.09.2024;00:08:25;9.8;63.9
06.09.2024;00:08:30;;64.0
06.09.2024;00:08:35;9.8;64.2
06.09.2024;00:08:40;9.8;64.3
06.09.2024;00:08:45;9.8;64.5
06.09.2024;00:08:50;9.8;64.6
06.09.2024;00:08:55;9.8;64.8
06.09.2024;00:09:00;9.8;64.9
06.09.2024;00:09:05;;65.0
06.09.2024;00:09:10;9.8;65.2


06.09.2024;00:09:15;NaN;65.3

06.09.2024;00:09:20;9.8;65.5
06.09.2024;00:09:25;9.8;65.6
06.09.2024;00:09:30;NaN;65.8
06.09.2024;00:09:35;9.8;65.9
06.09.2024;00:09:45;9.8;66.2
06.09.2024;00:09:50;9.9;66.3
06.09.2024;00:09:55;9.8;66.4
06.09.2024;00:10:00;9.9;66.6
06.09.2024;00:10:05;9.9;66.8
06.09.2024;00:10:10;9.9;66.9
06.09.2024;00:10:15;9.9;67.0
06.09.2024;00:10:20;9.8;67.1
06.09.2024;00:10:25;9.8;NaN
06.09.2024;00:10:30;9.9;67.4
06.09.2024;00:10:35;9.9;-99
06.09.2024;00:10:40;9.9;67.7
06.09.2024;00:10:45;;
06.09.2024;00:10:50;;67.8
06.09.2024;00:10:55;9.9;68.0
06.09.2024;00:11:00;0.0;68.1
06.09.2024;00:11:05;-99;68.1
06.09.2024;00:11:10;9.9;NaN
06.09.2024;00:11:15;NaN;68.0
06.09.2024;00:11:20;9.9;68.0
06.09.2024;00:11:25;9.9;67.8
06.09.2024;00:11:30;9.9;67.6
06.09.2024;00:11:35;9.9;67.3
06.09.2024;00:11:40;9.9;67.1
06.09.2024;00:11:45;9.9;66.8
06.09.2024;00:11:50;9.9;66.5
06.09.2024;00:11:55;9.9;66.2
06.09.2024;00:12:00;9.9;65.9
06.09.2024;00:12:05;9.9;65.7
06.09.2024;00:12:10;9.9;65.2
06.09.2024;00:12:15;9.9;64.9
06.09.2024;00:12:20;9.9;999
06.09.2024;00:12:25;9.9;64.2

06.09.2024;00:12:30;9.9;63.8
06.09.2024;00:12:35;9.9;63.5
06.09.2024;00:12:40;9.9;63.1
06.09.2024;00:12:45;9.9;62.8
06.09.2024;00:12:50;9.9;62.6
06.09.2024;00:12:55;9.9;62.4
06.09.2024;00:13:00;9.9;62.2
06.09.2024;00:13:05;9.9;62.0
06.09.2024;00:13:10;9.9;61.8
06.09.2024;00:13:15;9.9;61.7
06.09.2024;00:13:20;9.9;61.5
06.09.2024;00:13:25;-99;61.3
06.09.2024;00:13:35;9.9;999
06.09.2024;00:13:40;9.9;60.8
06.09.2024;00:13:45;9.9;60.6
06.09.2024;00:13:50;9.9;60.4
06.09.2024;00:13:55;9.9;60.3
06.09.2024;00:14:00;9.9;60.0
06.09.2024;00:14:05;9.9;59.8
06.09.2024;00:14:10;9.9;59.6
06.09.2024;00:14:15;9.9;59.3
06.09.2024;00:14:20;9.8;59.1
06.09.2024;00:14:25;9.9;58.9
06.09.2024;00:14:30;9.9;58.6
06.09.2024;00:14:40;9.9;58.2
06.09.2024;00:14:45;9.9;58.0
06.09.2024;00:14:50;9.9;57.7
06.09.2024;00:14:55;9.9;57.5
06.09.2024;00:15:00;9.9;57.2
06.09.2024;00:15:05;9.8;
06.09.2024;00:15:10;;999


06.09.2024;00:15:15;9.8;56.5
06.09.2024;00:15:20;9.9;56.4
06.09.2024;00:15:25;9.8;56.2
06.09.2024;00:15:30;9.8;56.2
06.09.2024;00:15:35;9.8;56.2
06.09.2024;00:15:40;9.9;56.2
06.09.2024;00:15:45;;56.2
